CO2,Temperature,Humidity,PM1.0,PM2.5,PM4.0,PM10,eCO2,TVOC,Temp_MA_24h,Temp_MA_7d,CO2_MA_24h,CO2_MA_7d
550,23,33,8.0,17.0,22.0,26.0,850,453,24.506944444444443,24.42105263157895,699.4791666666666,707.0323886639676
875,29,50,7.0,20.0,26.0,32.0,815,31,24.555555555555557,24.43951612903226,701.8055555555555,707.7096774193549
838,20,69,6.0,20.0,26.0,28.0,706,24,24.5,24.42168674698795,703.5069444444445,708.2329317269076
732,20,62,6.0,23.0,21.0,26.0,1306,403,24.479166666666668,24.404,701.8402777777778,708.328
924,25,51,7.0,17.0,29.0,31.0,570,104,24.46527777777778,24.406374501992033,702.0833333333334,709.1872509960159
776,29,47,6.0,22.0,20.0,33.0,699,319,24.5,24.424603174603174,703.6388888888889,709.452380952381
715,29,34,9.0,18.0,21.0,27.0,954,24,24.54861111111111,24.442687747035574,703.4791666666666,709.4743083003953
823,22,66,7.0,21.0,23.0,32.0,1404,193,24.5625,24.433070866141733,705.5138888888889,709.9212598425197
443,28,50,10.0,16.0,23.0,33.0,789,182,24.61111111111111,24.44705882352941,702.3958333333334,708.8745098039216
860,26,38,10.0,15.0,21.0,34.0,1050,234,24.63888888888889,24.453125,703.7430555555555,709.46484375
653,26,40,10.0,17.0,23.0,31.0,750,104,24.65972222222222,24.459143968871594,702.1041666666666,709.2451361867704
817,28,40,7.0,17.0,24.0,34.0,506,340,24.666666666666668,24.472868217054263,701.7361111111111,709.6627906976744
571,29,67,10.0,20.0,23.0,33.0,1122,182,24.708333333333332,24.49034749034749,701.5486111111111,709.1274131274131
810,24,39,12.0,20.0,29.0,30.0,1295,383,24.708333333333332,24.48846153846154,702.125,709.5153846153846
985,20,39,12.0,16.0,29.0,25.0,1310,453,24.65277777777778,24.471264367816094,704.9652777777778,710.5708812260536
708,25,68,11.0,17.0,25.0,25.0,1409,358,24.625,24.47328244274809,703.1736111111111,710.5610687022901
939,22,41,6.0,23.0,26.0,34.0,638,192,24.63888888888889,24.4638783269962,706.8125,711.4296577946768
443,28,39,11.0,22.0,28.0,29.0,1023,29,24.6875,24.477272727272727,704.3263888888889,710.4128787878788
401,27,65,12.0,18.0,29.0,31.0,1197,97,24.72222222222222,24.486792452830187,703.1527777777778,709.2452830188679
738,29,46,7.0,22.0,25.0,25.0,547,285,24.76388888888889,24.50375939849624,705.3611111111111,709.3533834586466
527,24,38,8.0,18.0,25.0,34.0,720,118,24.78472222222222,24.50187265917603,704.3125,708.6704119850187
810,29,46,6.0,16.0,28.0,29.0,795,71,24.79861111111111,24.51865671641791,703.7916666666666,709.0485074626865
942,28,34,14.0,15.0,24.0,27.0,427,289,24.833333333333332,24.53159851301115,707.4861111111111,709.914498141264
464,20,56,10.0,16.0,25.0,27.0,780,279,24.833333333333332,24.514814814814816,707.2638888888889,709.0037037037036
550,29,59,14.0,15.0,20.0,29.0,1379,48,24.84722222222222,24.531365313653136,707.0347222222222,708.4169741697417
470,21,34,14.0,23.0,23.0,32.0,1441,150,24.833333333333332,24.518382352941178,705.3194444444445,707.5404411764706
695,24,37,7.0,23.0,21.0,26.0,1336,11,24.833333333333332,24.516483516483518,703.4236111111111,707.4945054945055
630,28,68,5.0,20.0,26.0,34.0,991,295,24.84027777777778,24.529197080291972,702.2083333333334,707.2116788321168
483,24,41,14.0,18.0,28.0,31.0,895,224,24.833333333333332,24.527272727272727,701.1805555555555,706.3963636363636
576,21,44,6.0,18.0,26.0,29.0,833,40,24.82638888888889,24.514492753623188,701.7361111111111,705.9239130434783
717,23,35,14.0,16.0,23.0,31.0,596,121,24.79861111111111,24.509025270758123,700.4305555555555,705.9638989169675
854,24,55,5.0,15.0,24.0,33.0,1142,205,24.79861111111111,24.507194244604317,703.4097222222222,706.4964028776978
564,26,34,11.0,21.0,25.0,31.0,669,299,24.77777777777778,24.512544802867385,701.0972222222222,705.9856630824373
679,26,30,5.0,16.0,28.0,34.0,866,387,24.756944444444443,24.517857142857142,702.0555555555555,705.8892857142857
806,22,47,9.0,21.0,22.0,27.0,933,245,24.770833333333332,24.508896797153024,703.4027777777778,706.2455516014235
850,23,33,13.0,24.0,29.0,32.0,1333,186,24.76388888888889,24.50354609929078,702.8055555555555,706.7553191489362
876,21,54,9.0,20.0,23.0,29.0,969,185,24.770833333333332,24.491166077738516,705.1597222222222,707.3533568904594
649,25,51,8.0,22.0,22.0,25.0,1038,272,24.77777777777778,24.492957746478872,703.7638888888889,707.1478873239437
890,26,58,8.0,15.0,29.0,26.0,1087,194,24.8125,24.49824561403509,705.7847222222222,707.7894736842105
751,22,68,13.0,16.0,21.0,31.0,584,366,24.791666666666668,24.48951048951049,705.9652777777778,707.9405594405595
965,29,68,13.0,19.0,21.0,29.0,1416,111,24.8125,24.505226480836235,706.9722222222222,708.8362369337979
841,21,30,12.0,24.0,28.0,25.0,1296,33,24.756944444444443,24.493055555555557,709.8888888888889,709.2951388888889
765,27,53,5.0,20.0,26.0,25.0,1236,329,24.78472222222222,24.501730103806228,710.3680555555555,709.4878892733564
762,26,68,8.0,16.0,23.0,27.0,835,182,24.791666666666668,24.50689655172414,712.3472222222222,709.6689655172414
505,27,52,13.0,21.0,22.0,32.0,1087,144,24.78472222222222,24.515463917525775,711.5555555555555,708.9656357388316
436,26,48,12.0,20.0,22.0,31.0,591,318,24.8125,24.52054794520548,709.2430555555555,708.0308219178082
512,27,43,12.0,19.0,24.0,31.0,1376,81,24.819444444444443,24.52901023890785,707.9166666666666,707.3617747440273
544,25,57,6.0,19.0,27.0,32.0,1410,475,24.84722222222222,24.53061224489796,705.7152777777778,706.8061224489796
558,26,66,13.0,19.0,22.0,32.0,830,188,24.868055555555557,24.535593220338985,703.8680555555555,706.3016949152542
515,23,44,9.0,22.0,24.0,25.0,1026,487,24.84027777777778,24.530405405405407,701.4583333333334,705.6554054054054
612,24,69,12.0,17.0,24.0,34.0,634,260,24.868055555555557,24.52861952861953,699.0625,705.3400673400673
825,20,41,5.0,17.0,29.0,29.0,966,62,24.82638888888889,24.513422818791945,700.3888888888889,705.7416107382551
737,24,39,9.0,21.0,21.0,26.0,966,340,24.805555555555557,24.51170568561873,698.8611111111111,705.8461538461538
613,29,46,14.0,20.0,25.0,29.0,1016,18,24.8125,24.526666666666667,697.2083333333334,705.5366666666666
493,28,37,5.0,18.0,23.0,34.0,1036,351,24.84027777777778,24.538205980066444,695.6180555555555,704.8305647840532
564,29,63,11.0,15.0,27.0,30.0,591,48,24.854166666666668,24.55298013245033,694.6597222222222,704.364238410596
702,23,46,9.0,23.0,24.0,34.0,720,1,24.868055555555557,24.54785478547855,694.0902777777778,704.3564356435644
728,26,52,7.0,23.0,22.0,25.0,899,479,24.868055555555557,24.55263157894737,693.5,704.4342105263158
940,26,68,9.0,16.0,20.0,31.0,780,30,24.854166666666668,24.557377049180328,696.8125,705.2065573770492
797,22,37,11.0,23.0,29.0,29.0,773,440,24.8125,24.54901960784314,695.7708333333334,705.5065359477125
825,21,58,8.0,22.0,22.0,29.0,647,146,24.791666666666668,24.537459283387623,695.4097222222222,705.8957654723127
692,22,58,8.0,20.0,22.0,26.0,731,382,24.791666666666668,24.52922077922078,693.6527777777778,705.8506493506494
568,25,47,12.0,22.0,29.0,32.0,1215,126,24.770833333333332,24.53074433656958,691.5694444444445,705.4045307443366
418,23,36,13.0,24.0,26.0,25.0,544,398,24.77777777777778,24.525806451612905,687.5625,704.4774193548387
625,24,39,10.0,19.0,28.0,26.0,566,301,24.805555555555557,24.524115755627008,688.7916666666666,704.2218649517685
719,28,43,5.0,15.0,29.0,27.0,830,134,24.833333333333332,24.53525641025641,689.0069444444445,704.2692307692307
899,28,68,13.0,22.0,21.0,33.0,459,483,24.854166666666668,24.54632587859425,690.7152777777778,704.891373801917
958,25,68,10.0,17.0,21.0,32.0,1255,419,24.88888888888889,24.547770700636942,694.2083333333334,705.6974522292994
760,21,30,9.0,18.0,21.0,34.0,937,488,24.868055555555557,24.536507936507938,694.7152777777778,705.8698412698412
617,27,57,12.0,24.0,20.0,33.0,1166,462,24.90277777777778,24.544303797468356,696.0277777777778,705.5886075949367
512,27,53,9.0,20.0,21.0,25.0,983,363,24.916666666666668,24.55205047318612,695.2638888888889,704.9779179810726
911,24,44,6.0,19.0,27.0,25.0,1433,166,24.916666666666668,24.550314465408807,696.5208333333334,705.625786163522
757,28,51,8.0,15.0,20.0,25.0,666,77,24.90972222222222,24.561128526645767,698.0555555555555,705.7868338557994
914,23,68,8.0,19.0,26.0,27.0,867,311,24.895833333333332,24.55625,700.8680555555555,706.4375
498,29,55,14.0,20.0,25.0,31.0,454,163,24.95138888888889,24.570093457943926,701.3263888888889,705.7881619937694
842,20,44,7.0,23.0,29.0,33.0,916,259,24.930555555555557,24.555900621118013,700.7847222222222,706.2111801242236
632,24,54,10.0,16.0,28.0,28.0,783,338,24.9375,24.554179566563466,698.2569444444445,705.9814241486068
970,28,62,7.0,19.0,25.0,32.0,1438,482,24.96527777777778,24.564814814814813,698.3125,706.7962962962963
800,28,33,8.0,23.0,26.0,28.0,1493,393,24.958333333333332,24.575384615384614,696.9861111111111,707.0830769230769
949,27,55,10.0,15.0,28.0,28.0,654,322,24.944444444444443,24.58282208588957,699.625,707.8251533742331
637,25,55,12.0,16.0,21.0,30.0,405,414,24.916666666666668,24.584097859327215,699.8055555555555,707.6085626911315
888,28,39,7.0,16.0,24.0,30.0,1392,287,24.92361111111111,24.59451219512195,703.0277777777778,708.1585365853658
634,24,35,12.0,23.0,25.0,29.0,1113,388,24.95138888888889,24.592705167173253,703.8680555555555,707.9331306990881
918,28,64,6.0,24.0,29.0,33.0,920,331,24.979166666666668,24.6030303030303,707.1597222222222,708.569696969697
496,27,56,11.0,19.0,20.0,34.0,518,56,24.96527777777778,24.610271903323262,705.9444444444445,707.9274924471299
500,24,32,10.0,24.0,25.0,27.0,1337,489,24.9375,24.60843373493976,703.3402777777778,707.3012048192771
743,21,43,5.0,15.0,26.0,33.0,655,486,24.90277777777778,24.5975975975976,702.2569444444445,707.4084084084084
603,24,64,5.0,18.0,29.0,30.0,1005,450,24.916666666666668,24.595808383233532,701.9236111111111,707.0958083832336
779,20,44,8.0,15.0,21.0,32.0,959,55,24.881944444444443,24.582089552238806,702.9236111111111,707.310447761194
944,28,38,6.0,22.0,21.0,30.0,473,431,24.895833333333332,24.592261904761905,706.1041666666666,708.014880952381
528,20,44,14.0,15.0,23.0,29.0,568,220,24.854166666666668,24.578635014836795,704.2777777777778,707.4807121661721
497,28,39,14.0,23.0,21.0,29.0,642,471,24.881944444444443,24.588757396449704,704.5833333333334,706.8579881656805
854,23,50,11.0,16.0,26.0,32.0,1412,308,24.90277777777778,24.58407079646018,704.7430555555555,707.29203539823
885,29,52,11.0,17.0,20.0,33.0,1362,238,24.9375,24.597058823529412,705.0277777777778,707.814705882353
964,28,63,12.0,23.0,27.0,33.0,1150,442,24.979166666666668,24.607038123167154,706.9305555555555,708.5659824046921
898,28,41,13.0,20.0,26.0,30.0,1166,479,24.993055555555557,24.616959064327485,709.6944444444445,709.1198830409356
777,21,47,13.0,23.0,24.0,31.0,1100,6,24.96527777777778,24.606413994169095,709.1805555555555,709.3177842565598
919,28,68,12.0,17.0,29.0,31.0,889,336,24.97222222222222,24.61627906976744,711.1944444444445,709.9273255813954
869,27,50,5.0,16.0,22.0,28.0,795,314,24.98611111111111,24.6231884057971,713.2986111111111,710.3884057971014
672,26,59,13.0,18.0,23.0,31.0,1183,262,24.98611111111111,24.627167630057805,713.5833333333334,710.2774566473988
845,28,32,11.0,20.0,26.0,25.0,1449,87,24.98611111111111,24.636887608069163,716.125,710.6657060518731
760,28,34,13.0,15.0,26.0,30.0,500,204,25.006944444444443,24.646551724137932,714.6319444444445,710.8074712643678
942,21,62,14.0,17.0,22.0,31.0,1112,400,24.95138888888889,24.636103151862464,717.7916666666666,711.4699140401146
536,24,61,13.0,20.0,21.0,34.0,692,375,24.958333333333332,24.634285714285713,715.8472222222222,710.9685714285714
568,28,47,8.0,23.0,27.0,30.0,1264,483,24.96527777777778,24.643874643874643,714.7638888888889,710.5612535612536
558,29,68,11.0,21.0,28.0,29.0,1387,100,24.993055555555557,24.65625,714.5555555555555,710.1278409090909
807,24,67,6.0,17.0,28.0,28.0,1300,320,25.020833333333332,24.654390934844194,713.9097222222222,710.4022662889519
850,22,47,12.0,22.0,24.0,25.0,1180,374,25.01388888888889,24.646892655367232,715.6041666666666,710.7966101694915
540,28,33,9.0,22.0,22.0,30.0,1447,27,25.02777777777778,24.656338028169014,715.5694444444445,710.3154929577465
817,29,66,14.0,16.0,29.0,26.0,781,38,25.04861111111111,24.668539325842698,717.3055555555555,710.6151685393259
922,21,42,7.0,23.0,28.0,30.0,617,315,25.055555555555557,24.65826330532213,719.7986111111111,711.2072829131653
428,21,38,5.0,19.0,20.0,26.0,1154,496,25.041666666666668,24.64804469273743,716.7638888888889,710.4162011173185
442,20,41,13.0,24.0,23.0,26.0,494,334,25.041666666666668,24.635097493036213,713.875,709.6685236768802
998,24,57,7.0,18.0,20.0,33.0,1258,219,25.03472222222222,24.633333333333333,715.7638888888889,710.4694444444444
712,21,60,12.0,18.0,25.0,32.0,550,14,25.03472222222222,24.62326869806094,716.3333333333334,710.4736842105264
990,25,45,13.0,17.0,27.0,34.0,843,461,25.020833333333332,24.624309392265193,718.7638888888889,711.2458563535912
773,23,38,9.0,24.0,27.0,28.0,939,189,25.01388888888889,24.619834710743802,721.0208333333334,711.4159779614325
901,21,47,9.0,15.0,24.0,30.0,1206,264,25.0,24.60989010989011,722.4166666666666,711.9368131868132
796,26,44,6.0,19.0,28.0,27.0,424,445,25.0,24.613698630136987,723.9027777777778,712.1671232876712
553,26,67,12.0,21.0,22.0,31.0,1474,369,25.0,24.617486338797814,723.1875,711.7322404371585
733,25,43,11.0,19.0,29.0,28.0,1420,440,24.98611111111111,24.618528610354222,723.125,711.7901907356949
660,24,39,14.0,18.0,25.0,33.0,1260,64,24.958333333333332,24.616847826086957,721.4375,711.6494565217391
924,29,55,9.0,17.0,21.0,29.0,1327,335,25.0,24.62872628726287,723.1666666666666,712.2249322493225
530,22,42,6.0,18.0,27.0,33.0,624,339,24.98611111111111,24.62162162162162,723.7152777777778,711.7324324324325
752,25,40,10.0,16.0,27.0,25.0,567,188,24.96527777777778,24.62264150943396,725.2013888888889,711.8409703504043
717,22,57,14.0,16.0,21.0,33.0,1037,414,24.92361111111111,24.615591397849464,726.5486111111111,711.8548387096774
799,28,58,12.0,17.0,25.0,29.0,533,126,24.96527777777778,24.62466487935657,727.0694444444445,712.088471849866
756,22,30,6.0,22.0,20.0,25.0,729,346,24.9375,24.61764705882353,726.7152777777778,712.2058823529412
906,20,46,8.0,17.0,27.0,30.0,739,141,24.90972222222222,24.605333333333334,728.3541666666666,712.7226666666667
558,21,40,10.0,22.0,28.0,30.0,544,92,24.881944444444443,24.595744680851062,725.75,712.311170212766
544,20,49,12.0,15.0,24.0,27.0,1060,244,24.84722222222222,24.583554376657826,725.5416666666666,711.8647214854111
827,23,31,8.0,16.0,25.0,29.0,1154,428,24.854166666666668,24.57936507936508,725.8680555555555,712.1693121693122
687,24,49,11.0,23.0,22.0,33.0,1376,338,24.833333333333332,24.5778364116095,726.9513888888889,712.1029023746702
700,27,59,11.0,15.0,20.0,33.0,1147,20,24.84722222222222,24.58421052631579,725.9791666666666,712.0710526315789
933,21,53,12.0,20.0,28.0,29.0,1370,29,24.84027777777778,24.5748031496063,728.2361111111111,712.6509186351706
945,27,32,14.0,17.0,26.0,26.0,559,266,24.84722222222222,24.581151832460733,728.0902777777778,713.2591623036649
404,22,33,6.0,23.0,25.0,33.0,988,462,24.819444444444443,24.574412532637076,724.0694444444445,712.4516971279373
951,21,58,14.0,15.0,23.0,33.0,510,446,24.79861111111111,24.565104166666668,724.3680555555555,713.0729166666666
524,29,63,11.0,19.0,28.0,33.0,793,447,24.833333333333332,24.576623376623377,721.5763888888889,712.5818181818182
467,24,32,5.0,15.0,29.0,28.0,676,331,24.854166666666668,24.575129533678755,721.0486111111111,711.9455958549223
562,22,46,8.0,18.0,20.0,28.0,503,296,24.82638888888889,24.56847545219638,719.3333333333334,711.5581395348837
562,22,35,13.0,23.0,27.0,27.0,644,156,24.77777777777778,24.561855670103093,716.9513888888889,711.1726804123712
442,29,48,9.0,16.0,22.0,34.0,789,357,24.84027777777778,24.573264781491,713.3819444444445,710.4807197943445
438,27,43,6.0,21.0,28.0,30.0,1177,128,24.84027777777778,24.57948717948718,713.3888888888889,709.7820512820513
778,20,62,9.0,19.0,27.0,32.0,933,458,24.819444444444443,24.56777493606138,714.9722222222222,709.9565217391304
522,20,62,10.0,21.0,26.0,30.0,1452,25,24.756944444444443,24.556122448979593,712.5208333333334,709.4770408163265
910,25,53,5.0,24.0,20.0,33.0,773,333,24.791666666666668,24.557251908396946,713.0208333333334,709.9872773536896
906,23,59,8.0,21.0,25.0,32.0,834,255,24.8125,24.553299492385786,714.2291666666666,710.484771573604
630,21,65,6.0,19.0,22.0,34.0,1151,97,24.78472222222222,24.544303797468356,712.1875,710.2810126582278
619,24,63,9.0,22.0,26.0,25.0,702,285,24.75,24.542929292929294,711.0972222222222,710.0505050505051
901,21,51,9.0,17.0,28.0,27.0,1476,94,24.694444444444443,24.534005037783377,712.3888888888889,710.5314861460957
792,21,50,9.0,24.0,24.0,32.0,978,97,24.6875,24.525125628140703,712.1736111111111,710.7361809045226
696,26,58,5.0,23.0,20.0,28.0,849,51,24.67361111111111,24.528822055137844,713.9305555555555,710.6992481203008
597,26,47,5.0,15.0,23.0,30.0,1057,361,24.67361111111111,24.5325,712.1041666666666,710.415
917,22,51,13.0,23.0,24.0,26.0,425,190,24.645833333333332,24.526184538653368,713.9375,710.930174563591
407,23,48,9.0,21.0,21.0,30.0,435,160,24.61111111111111,24.52238805970149,711.0902777777778,710.1741293532339
862,28,64,11.0,17.0,28.0,26.0,1193,250,24.604166666666668,24.531017369727046,713.1111111111111,710.5508684863523
734,28,63,14.0,21.0,22.0,26.0,1146,163,24.631944444444443,24.53960396039604,712.5833333333334,710.6089108910891
945,25,46,8.0,24.0,28.0,27.0,536,318,24.666666666666668,24.54074074074074,712.3055555555555,711.1876543209877
939,22,46,8.0,20.0,29.0,29.0,1106,44,24.645833333333332,24.53448275862069,713.9097222222222,711.7487684729064
477,29,30,7.0,18.0,28.0,28.0,453,204,24.694444444444443,24.545454545454547,710.7013888888889,711.1719901719902
430,24,30,6.0,22.0,27.0,26.0,438,89,24.666666666666668,24.544117647058822,710.6111111111111,710.4828431372549
574,27,36,7.0,23.0,29.0,34.0,1429,368,24.666666666666668,24.550122249388753,711.8125,710.1491442542788
409,28,61,6.0,18.0,23.0,26.0,816,362,24.65972222222222,24.558536585365854,709.5277777777778,709.4146341463414
753,29,32,8.0,23.0,26.0,27.0,991,105,24.694444444444443,24.56934306569343,711.0972222222222,709.5206812652068
627,21,67,9.0,23.0,23.0,33.0,538,98,24.63888888888889,24.560679611650485,709.8263888888889,709.3203883495146
992,21,51,6.0,24.0,27.0,26.0,714,183,24.59027777777778,24.552058111380145,710.1736111111111,710.0048426150121
684,24,35,6.0,24.0,27.0,32.0,531,453,24.618055555555557,24.55072463768116,711.7013888888889,709.9420289855072
848,25,32,5.0,19.0,22.0,33.0,614,212,24.59027777777778,24.551807228915663,713.7708333333334,710.2746987951807
821,20,46,12.0,19.0,27.0,27.0,1212,419,24.583333333333332,24.540865384615383,716.2083333333334,710.5408653846154
802,25,68,13.0,16.0,28.0,34.0,1327,306,24.59027777777778,24.54196642685851,716.9513888888889,710.7601918465227
734,21,41,9.0,15.0,24.0,31.0,565,160,24.541666666666668,24.533492822966508,717.6736111111111,710.8157894736842
759,22,57,8.0,22.0,23.0,30.0,1313,135,24.52777777777778,24.52744630071599,719.5902777777778,710.9307875894988
854,29,55,10.0,21.0,20.0,26.0,889,433,24.583333333333332,24.538095238095238,721.5208333333334,711.2714285714286
452,28,65,11.0,17.0,22.0,34.0,539,16,24.618055555555557,24.546318289786225,719.6805555555555,710.6555819477435
794,29,32,8.0,16.0,25.0,31.0,1046,480,24.65277777777778,24.55687203791469,719.2638888888889,710.8530805687204
463,20,52,7.0,15.0,24.0,34.0,1430,155,24.61111111111111,24.54609929078014,718.5625,710.2671394799054
557,25,57,14.0,21.0,22.0,27.0,1029,158,24.604166666666668,24.547169811320753,717.7152777777778,709.9056603773585
904,20,68,13.0,16.0,27.0,30.0,808,81,24.59027777777778,24.536470588235293,718.3958333333334,710.3623529411765
439,23,57,6.0,21.0,23.0,31.0,1177,66,24.59027777777778,24.53286384976526,715.5416666666666,709.7253521126761
966,27,32,9.0,22.0,27.0,26.0,1402,303,24.631944444444443,24.538641686182668,716.1666666666666,710.3255269320844
429,20,69,5.0,16.0,23.0,30.0,1149,220,24.59722222222222,24.52803738317757,714.6388888888889,709.6682242990654
583,24,65,13.0,20.0,21.0,33.0,1073,258,24.583333333333332,24.526806526806528,712.5069444444445,709.3729603729604
759,23,44,8.0,17.0,24.0,29.0,1269,141,24.59027777777778,24.523255813953487,712.5625,709.4883720930233
746,24,46,14.0,15.0,25.0,31.0,1085,309,24.555555555555557,24.52204176334107,711.0416666666666,709.5730858468678
796,26,37,10.0,17.0,23.0,30.0,1017,221,24.59027777777778,24.525462962962962,710.7291666666666,709.7731481481482
545,26,38,10.0,21.0,22.0,31.0,451,409,24.583333333333332,24.528868360277137,709.2013888888889,709.3926096997691
471,23,51,6.0,21.0,21.0,25.0,1083,74,24.5625,24.525345622119815,707.1805555555555,708.8433179723502
780,28,52,12.0,18.0,23.0,27.0,1232,373,24.569444444444443,24.533333333333335,709.0902777777778,709.0068965517241
867,22,52,13.0,20.0,24.0,30.0,1299,19,24.541666666666668,24.527522935779817,712.0833333333334,709.3692660550458
584,20,51,11.0,19.0,24.0,31.0,1289,475,24.493055555555557,24.51716247139588,712.5833333333334,709.0823798627002
963,21,56,9.0,22.0,26.0,27.0,1175,255,24.46527777777778,24.509132420091323,715.4930555555555,709.662100456621
974,22,45,12.0,18.0,29.0,34.0,1032,80,24.4375,24.503416856492027,718.3819444444445,710.2642369020501
502,25,69,8.0,17.0,29.0,26.0,1488,151,24.45138888888889,24.504545454545454,718.2916666666666,709.790909090909
579,22,39,10.0,21.0,23.0,29.0,1373,120,24.4375,24.498866213151928,718.0625,709.4943310657596
942,21,62,8.0,24.0,27.0,33.0,606,108,24.444444444444443,24.490950226244344,718.875,710.0203619909503
550,29,43,11.0,16.0,24.0,33.0,1421,406,24.479166666666668,24.501128668171557,717.5763888888889,709.6591422121896
661,29,38,9.0,20.0,20.0,28.0,689,128,24.479166666666668,24.51126126126126,717.9097222222222,709.5495495495495
875,21,68,12.0,16.0,20.0,32.0,448,173,24.430555555555557,24.503370786516854,720.5625,709.9213483146067
495,26,40,8.0,24.0,20.0,27.0,513,165,24.40972222222222,24.506726457399104,720.0833333333334,709.4394618834081
761,22,69,5.0,18.0,20.0,34.0,1476,439,24.40277777777778,24.501118568232663,720.4930555555555,709.5548098434004
806,20,49,10.0,16.0,24.0,26.0,1233,354,24.36111111111111,24.491071428571427,721.0347222222222,709.7700892857143
516,23,31,14.0,15.0,25.0,26.0,1465,376,24.34027777777778,24.48775055679287,718.0902777777778,709.3385300668151
765,26,46,8.0,22.0,25.0,26.0,1254,248,24.368055555555557,24.49111111111111,717.8680555555555,709.4622222222222
422,20,59,12.0,18.0,29.0,31.0,1302,463,24.36111111111111,24.481152993348115,715.0694444444445,708.8248337028825
802,25,37,10.0,24.0,22.0,28.0,669,197,24.381944444444443,24.48230088495575,715.8333333333334,709.0309734513274
621,25,43,10.0,21.0,20.0,31.0,1102,6,24.381944444444443,24.483443708609272,716.2013888888889,708.8366445916115
685,22,63,13.0,19.0,27.0,30.0,1427,301,24.375,24.47797356828194,718.0555555555555,708.784140969163
418,24,56,5.0,19.0,21.0,29.0,622,22,24.375,24.476923076923075,716.6180555555555,708.145054945055
452,25,50,13.0,18.0,29.0,27.0,1359,386,24.354166666666668,24.478070175438596,714.7638888888889,707.5833333333334
522,25,54,8.0,20.0,29.0,32.0,551,359,24.333333333333332,24.47921225382932,712.1458333333334,707.1772428884026
943,23,61,11.0,19.0,20.0,33.0,544,201,24.319444444444443,24.475982532751093,712.0416666666666,707.6921397379913
705,27,68,14.0,19.0,27.0,33.0,1358,342,24.36111111111111,24.48148148148148,711.6597222222222,707.6862745098039
867,28,66,8.0,24.0,26.0,25.0,562,222,24.368055555555557,24.48913043478261,713.3958333333334,708.0326086956521
777,26,36,7.0,15.0,27.0,32.0,1295,84,24.36111111111111,24.492407809110627,715.2361111111111,708.1822125813449
573,29,68,12.0,15.0,29.0,33.0,1068,181,24.395833333333332,24.5021645021645,712.8888888888889,707.8896103896104
742,20,64,5.0,24.0,20.0,33.0,1293,61,24.34027777777778,24.49244060475162,712.7847222222222,707.963282937365
599,23,56,8.0,20.0,29.0,32.0,1365,251,24.34027777777778,24.489224137931036,710.5972222222222,707.7284482758621
812,26,57,5.0,15.0,24.0,29.0,1362,234,24.319444444444443,24.49247311827957,712.7777777777778,707.952688172043
547,24,69,8.0,21.0,28.0,31.0,432,170,24.34722222222222,24.491416309012877,710.7291666666666,707.6072961373391
991,27,37,11.0,18.0,25.0,34.0,844,405,24.368055555555557,24.49678800856531,713.2222222222222,708.2141327623126
744,29,32,6.0,23.0,22.0,31.0,405,196,24.375,24.506410256410255,711.6527777777778,708.2905982905983
614,23,55,14.0,24.0,25.0,33.0,625,314,24.34027777777778,24.50319829424307,710.3611111111111,708.0895522388059
923,29,67,7.0,21.0,24.0,28.0,961,9,24.354166666666668,24.51276595744681,710.1805555555555,708.5468085106382
629,25,65,14.0,17.0,21.0,32.0,429,217,24.354166666666668,24.51380042462845,710.125,708.3779193205945
849,24,40,9.0,16.0,20.0,33.0,1474,194,24.32638888888889,24.51271186440678,709.8541666666666,708.6758474576271
671,20,68,14.0,22.0,22.0,29.0,1388,105,24.29861111111111,24.503171247357294,710.1111111111111,708.5961945031712
957,23,30,6.0,22.0,25.0,27.0,1218,44,24.26388888888889,24.5,710.3819444444445,709.120253164557
771,26,62,8.0,21.0,24.0,28.0,628,450,24.256944444444443,24.50315789473684,712.2916666666666,709.2505263157894
847,26,37,7.0,22.0,22.0,25.0,1126,334,24.270833333333332,24.506302521008404,714.7013888888889,709.5399159663865
509,26,34,9.0,20.0,27.0,29.0,933,26,24.305555555555557,24.50943396226415,713.0763888888889,709.1194968553459
866,24,37,14.0,24.0,23.0,33.0,1395,215,24.305555555555557,24.50836820083682,714.9027777777778,709.4476987447699
568,21,54,12.0,23.0,25.0,25.0,478,421,24.3125,24.501043841336116,713.4375,709.1524008350731
673,20,64,9.0,23.0,26.0,29.0,1401,449,24.256944444444443,24.491666666666667,711.5555555555555,709.0770833333333
630,25,36,14.0,16.0,24.0,27.0,700,324,24.291666666666668,24.492723492723492,712.2638888888889,708.9126819126819
640,26,63,9.0,19.0,29.0,31.0,907,437,24.27777777777778,24.49585062240664,713.2569444444445,708.7697095435684
753,27,43,6.0,21.0,28.0,27.0,1140,141,24.305555555555557,24.501035196687372,712.5555555555555,708.8612836438923
482,26,54,7.0,19.0,20.0,27.0,578,120,24.28472222222222,24.50413223140496,709.7569444444445,708.3925619834711
900,25,64,12.0,17.0,20.0,27.0,1004,235,24.26388888888889,24.50515463917526,709.3125,708.7876288659794
414,26,39,7.0,22.0,22.0,32.0,1293,118,24.25,24.508230452674898,705.9513888888889,708.1810699588477
426,22,62,8.0,23.0,26.0,34.0,1473,247,24.256944444444443,24.503080082135522,703.5138888888889,707.6016427104723
744,21,58,14.0,20.0,21.0,31.0,645,113,24.208333333333332,24.49590163934426,702.2986111111111,707.6762295081967
